2025-12-03 18:21:35,593 INFO Starting network monitor
2025-12-03 18:21:35,593 INFO Logging to logs/monitor.log
2025-12-03 18:21:35,593 INFO Database at data/monitor.db
2025-12-03 18:21:35,593 INFO Speedtests enabled every 1800 seconds
2025-12-03 18:21:35,624 INFO Starting network monitor loop
2025-12-03 18:35:35,697 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=17.9 ms
2025-12-03 18:36:05,677 INFO internet-google (eth0) reachable: 8.8.8.8, latency=19.2 ms
2025-12-03 18:36:05,709 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=18.4 ms
2025-12-03 18:36:35,671 INFO internet-google (eth0) reachable: 8.8.8.8, latency=19.8 ms
2025-12-03 18:36:35,699 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=18.0 ms
2025-12-03 18:37:05,670 INFO internet-google (eth0) reachable: 8.8.8.8, latency=18.3 ms
2025-12-03 18:37:05,701 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=18.4 ms
2025-12-03 18:37:35,669 INFO internet-google (eth0) reachable: 8.8.8.8, latency=18.7 ms
2025-12-03 18:37:35,697 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=18.1 ms
2025-12-03 18:38:05,672 INFO internet-google (eth0) reachable: 8.8.8.8, latency=19.6 ms
2025-12-03 18:38:05,701 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=18.0 ms
2025-12-03 18:38:35,670 INFO internet-google (eth0) reachable: 8.8.8.8, latency=18.6 ms
2025-12-03 18:38:35,696 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=17.5 ms
2025-12-03 18:39:05,672 INFO internet-google (eth0) reachable: 8.8.8.8, latency=18.5 ms
2025-12-03 18:39:05,701 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=17.7 ms
2025-12-03 18:39:35,671 INFO internet-google (eth0) reachable: 8.8.8.8, latency=18.2 ms
2025-12-03 18:39:35,703 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=19.1 ms
2025-12-03 18:40:05,668 INFO internet-google (eth0) reachable: 8.8.8.8, latency=18.2 ms
2025-12-03 18:40:05,693 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=19.1 ms
2025-12-03 18:40:35,672 INFO internet-google (eth0) reachable: 8.8.8.8, latency=18.9 ms
2025-12-03 18:40:35,710 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=22.4 ms
2025-12-03 18:41:05,671 INFO internet-google (eth0) reachable: 8.8.8.8, latency=18.2 ms
2025-12-03 18:41:05,699 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=18.5 ms
2025-12-03 18:41:35,671 INFO internet-google (eth0) reachable: 8.8.8.8, latency=18.6 ms
2025-12-03 18:41:35,698 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=18.0 ms
2025-12-03 18:42:05,679 INFO internet-google (eth0) reachable: 8.8.8.8, latency=18.9 ms
2025-12-03 18:42:05,713 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=19.9 ms
2025-12-03 18:42:35,677 INFO internet-google (eth0) reachable: 8.8.8.8, latency=17.8 ms
2025-12-03 18:42:35,705 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=17.9 ms
2025-12-03 18:43:05,677 INFO internet-google (eth0) reachable: 8.8.8.8, latency=18.3 ms
2025-12-03 18:43:05,706 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=17.9 ms
2025-12-03 18:43:35,679 INFO internet-google (eth0) reachable: 8.8.8.8, latency=19.0 ms
2025-12-03 18:43:35,713 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=19.1 ms
2025-12-03 18:44:05,675 INFO internet-google (eth0) reachable: 8.8.8.8, latency=19.6 ms
2025-12-03 18:44:05,731 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=18.5 ms
2025-12-03 18:44:35,678 INFO internet-google (eth0) reachable: 8.8.8.8, latency=19.4 ms
2025-12-03 18:44:35,707 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=18.9 ms
2025-12-03 18:45:05,678 INFO internet-google (eth0) reachable: 8.8.8.8, latency=19.7 ms
2025-12-03 18:45:05,707 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=17.9 ms
2025-12-03 18:45:35,680 INFO internet-google (eth0) reachable: 8.8.8.8, latency=19.9 ms
2025-12-03 18:45:35,710 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=19.5 ms
2025-12-03 18:46:05,676 INFO internet-google (eth0) reachable: 8.8.8.8, latency=18.6 ms
2025-12-03 18:46:05,704 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=18.1 ms
2025-12-03 18:46:35,683 INFO internet-google (eth0) reachable: 8.8.8.8, latency=19.7 ms
2025-12-03 18:46:35,714 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=19.8 ms
2025-12-03 18:47:05,683 INFO internet-google (eth0) reachable: 8.8.8.8, latency=20.6 ms
2025-12-03 18:47:05,714 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=17.8 ms
2025-12-03 18:47:35,674 INFO internet-google (eth0) reachable: 8.8.8.8, latency=18.7 ms
2025-12-03 18:47:35,698 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=17.1 ms
2025-12-03 18:48:05,682 INFO internet-google (eth0) reachable: 8.8.8.8, latency=20.0 ms
2025-12-03 18:48:05,715 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=19.9 ms
2025-12-03 18:48:35,679 INFO internet-google (eth0) reachable: 8.8.8.8, latency=18.7 ms
2025-12-03 18:48:35,709 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=19.3 ms
2025-12-03 18:49:05,685 INFO internet-google (eth0) reachable: 8.8.8.8, latency=18.2 ms
2025-12-03 18:49:05,715 INFO internet-cloudflare (eth0) reachable: 1.1.1.1, latency=17.7 ms
2025-12-03 18:49:35,687 INFO internet-google (eth0) reachable: 8.8.8.8, latency=18.3 ms
